threshold,policy_tier,alerts,alert_rate_pct,precision,recall,f1,tp,fp,fn,tn,roc_auc,pr_auc
0.1,HIGH_SENSITIVITY,55,27.5,0.6727,1.0,0.8043,37,18,0,145,0.9945,0.9782
0.3,BALANCED_TRIAGE,46,23.0,0.7826,0.973,0.8675,36,10,1,153,0.9945,0.9782
0.5,BALANCED_TRIAGE,44,22.0,0.8182,0.973,0.8889,36,8,1,155,0.9945,0.9782
0.7,HIGH_PRECISION,40,20.0,0.875,0.9459,0.9091,35,5,2,158,0.9945,0.9782
0.8,HIGH_PRECISION,38,19.0,0.9211,0.9459,0.9333,35,3,2,160,0.9945,0.9782
0.9,HIGH_CONFIDENCE_ALERT,30,15.0,0.9667,0.7838,0.8657,29,1,8,162,0.9945,0.9782
