seed,n_test,n_pos,n_neg,xgb_acc,gnn_acc,xgb_prec,gnn_prec,xgb_rec,gnn_rec,xgb_f1,gnn_f1,f1_delta,xgb_pr_auc,gnn_pr_auc,pr_auc_delta,xgb_roc_auc,gnn_roc_auc
42,200,37,163,0.96,0.965,0.9142857142857143,0.9411764705882353,0.8648648648648649,0.8648648648648649,0.8888888888888888,0.9014084507042254,0.012519561815336533,0.9440839617984766,0.9499544729386868,0.0058705111402101995,0.9791908472890068,0.9817609020063008
101,200,37,163,0.94,0.955,0.8205128205128205,0.85,0.8648648648648649,0.918918918918919,0.8421052631578947,0.8831168831168831,0.04101161995898839,0.9561979212677063,0.9708631708631708,0.014665249595464447,0.988061681313215,0.991377880948433
2024,200,37,163,0.955,0.965,0.8888888888888888,0.8947368421052632,0.8648648648648649,0.918918918918919,0.8767123287671232,0.9066666666666666,0.029954337899543382,0.9228139459276807,0.9634102836829883,0.04059633775530758,0.9819267119880617,0.9907146410213894
7,200,37,163,0.96,0.97,0.8918918918918919,0.918918918918919,0.8918918918918919,0.918918918918919,0.8918918918918919,0.918918918918919,0.027027027027027084,0.9786434214854147,0.977726434641328,-0.000916986844086698,0.9943624606201293,0.9932017907478029
99,200,37,163,0.945,0.97,0.8611111111111112,0.8780487804878049,0.8378378378378378,0.972972972972973,0.8493150684931506,0.9230769230769231,0.07376185458377249,0.9531085775779564,0.9780892902404448,0.024980712662488358,0.9887249212402587,0.9943624606201292
