seed,n_test,n_pos,n_neg,accuracy,acc_ci_lower,acc_ci_upper,precision,prec_ci_lower,prec_ci_upper,recall,rec_ci_lower,rec_ci_upper,f1,f1_ci_lower,f1_ci_upper,roc_auc,roc_ci_lower,roc_ci_upper,pr_auc,pr_ci_lower,pr_ci_upper,tp,fp,fn,tn
42,200,59,141,0.845,0.7883932216390567,0.8886035550346517,0.7333333333333333,0.60991313511395,0.8286734411885459,0.7457627118644068,0.622038828500003,0.8394400701778306,0.7394957983193278,0.6464047252182846,0.8235294117647058,0.9250510878711383,0.8875100756448413,0.9556878684967146,0.8667317529077696,0.7905215696178141,0.9229640497222064,44,16,15,125
101,200,59,141,0.835,0.777342313757747,0.8800313679399118,0.6857142857142857,0.5697288639816079,0.7823769301727055,0.8135593220338984,0.6962107632407549,0.8925726592102743,0.7441860465116279,0.6511438835318586,0.8188349681638272,0.9132708258204111,0.8686825584007188,0.9496094874166859,0.858992536749297,0.7862746952501661,0.9152898183724792,48,22,11,119
2024,200,59,141,0.815,0.7554295043626248,0.8626979873829349,0.671875,0.5499913125309123,0.7742942415753592,0.7288135593220338,0.6040226385799065,0.8256301291546282,0.6991869918699187,0.6017663141233183,0.7833333333333333,0.9110470008414473,0.8721988467208238,0.9472472002952124,0.8338640728963744,0.7522999997813947,0.899194943435874,43,21,16,120
7,200,59,141,0.82,0.7608853810214754,0.8670536582121091,0.6619718309859155,0.5461664220464336,0.7611499392648391,0.7966101694915254,0.6773201457785633,0.879637145729167,0.7230769230769231,0.628099173553719,0.803160151856018,0.9236687101815122,0.8815249809581156,0.960394002655161,0.8801581234920888,0.8132126999530578,0.9350442546773381,47,24,12,117
99,200,59,141,0.865,0.8107087402958039,0.9055342263300036,0.7285714285714285,0.6145571279512447,0.8188038494694487,0.864406779661017,0.7546036548542827,0.9296581604266431,0.7906976744186046,0.7142857142857143,0.8617956265769554,0.9606923909123694,0.9376098764875587,0.9798124276055798,0.917311180550803,0.8707483495757898,0.9593736000396125,51,19,8,122
