seed,n_test,n_pos,n_neg,xgb_acc,gnn_acc,xgb_prec,gnn_prec,xgb_rec,gnn_rec,xgb_f1,gnn_f1,f1_delta,xgb_pr_auc,gnn_pr_auc,pr_auc_delta,xgb_roc_auc,gnn_roc_auc
42,200,59,141,0.84,0.845,0.7368421052631579,0.6842105263157895,0.711864406779661,0.8813559322033898,0.7241379310344828,0.7703703703703704,0.04623243933588761,0.8647630356299697,0.8878234378186081,0.023060402188638363,0.9255920182714269,0.9418800336578915
101,200,59,141,0.83,0.88,0.676056338028169,0.7692307692307693,0.8135593220338984,0.847457627118644,0.7384615384615385,0.8064516129032258,0.06799007444168725,0.8609579644585807,0.886341674521642,0.025383710063061282,0.9156749609328045,0.9354489722322394
2024,200,59,141,0.825,0.835,0.6935483870967742,0.703125,0.7288135593220338,0.7627118644067796,0.7107438016528925,0.7317073170731707,0.02096351542027819,0.8299825730244251,0.8569281181148248,0.026945545090399703,0.9073205914172376,0.9224065392475057
7,200,59,141,0.835,0.81,0.6805555555555556,0.6438356164383562,0.8305084745762712,0.7966101694915254,0.7480916030534351,0.7121212121212122,-0.035970390932222984,0.8863043826555056,0.8605766288881866,-0.02572775376731895,0.9264334655607644,0.9178987859117682
99,200,59,141,0.875,0.845,0.7428571428571429,0.6842105263157895,0.8813559322033898,0.8813559322033898,0.8062015503875969,0.7703703703703704,-0.035831180017226516,0.9210768485448793,0.9067482783762192,-0.01432857016866007,0.962976319269143,0.9465079937492487
