dataset,window_fraction,elapsed_hours,n_test,n_pos,n_neg,accuracy,precision,precision_95ci,recall,recall_95ci,f1,roc_auc,pr_auc,tp,fp,fn,tn
Dataset A (Synthetic),25%,18.0h,200,37,163,18.5,18.5,"[13.73%, 24.46%]",100.0,"[90.59%, 100.00%]",31.22,0.5,0.185,37,163,0,0
Dataset A (Synthetic),50%,36.0h,200,37,163,18.5,18.5,"[13.73%, 24.46%]",100.0,"[90.59%, 100.00%]",31.22,0.5,0.185,37,163,0,0
Dataset A (Synthetic),75%,54.0h,200,37,163,18.5,18.5,"[13.73%, 24.46%]",100.0,"[90.59%, 100.00%]",31.22,0.5,0.185,37,163,0,0
Dataset A (Synthetic),100%,72.0h,200,37,163,18.5,18.5,"[13.73%, 24.46%]",100.0,"[90.59%, 100.00%]",31.22,0.5,0.185,37,163,0,0
Dataset B (IBM AML),25%,18.0h,200,59,141,67.5,47.58,"[39.00%, 56.31%]",100.0,"[93.89%, 100.00%]",64.48,0.772,0.4834,59,65,0,76
Dataset B (IBM AML),50%,36.0h,200,59,141,67.0,47.15,"[38.55%, 55.93%]",98.31,"[91.00%, 99.70%]",63.74,0.7884,0.5044,58,65,1,76
Dataset B (IBM AML),75%,54.0h,200,59,141,67.0,47.15,"[38.55%, 55.93%]",98.31,"[91.00%, 99.70%]",63.74,0.7803,0.5016,58,65,1,76
Dataset B (IBM AML),100%,72.0h,200,59,141,67.0,47.15,"[38.55%, 55.93%]",98.31,"[91.00%, 99.70%]",63.74,0.7839,0.5065,58,65,1,76
