dataset,entity_level,geo_coordinates,n_evaluable_incidents,n_candidates_evaluated,top_1_hit_rate,top_3_hit_rate,mrr,notes
Dataset A (Synthetic),ATM Terminal Nodes (Physical Hardware),AVAILABLE (Latitude/Longitude for 50 ATMs),101,131,1.0,1.0,1.0,Synthetic benchmark with clean ATM exit labels.
Dataset B (IBM AML),Bank Accounts (out_degree=0 Exit Sinks),UNAVAILABLE (No physical GPS recorded),384,754,0.1042,0.1042,0.1042,Real bank-to-bank transfers without ATM nodes. Evaluates flow termination ranking.
